Distance_(microns),Gray_Value
407.519,48.9821
407.879,45.7965
408.240,44.6133
408.600,43.1327
408.960,41.6695
409.321,40.0928
409.681,38.8259
410.041,38.0928
410.402,37.0226
410.762,36.4639
411.122,37.0546
411.483,36.4706
411.843,37.3082
412.203,39.0571
412.564,40.5663
412.924,40.2538
413.284,43.1037
413.644,45.4932
414.005,48.4307
414.365,51.0876
414.725,53.6516
415.086,56.5936
415.446,58.4845
415.806,59.6932
416.167,61.5989
416.527,62.5001
416.887,62.5137
417.248,60.7958
417.608,59.9097
417.968,58.6592
418.329,56.4382
418.689,55.9420
419.049,55.5856
419.410,54.8502
419.770,54.6138
420.130,54.8254
420.490,55.2444
420.851,55.1928
421.211,54.5333
421.571,53.9120
421.932,54.4139
422.292,52.2160
422.652,51.2220
423.013,51.5886
423.373,49.6776
423.733,49.3370
424.094,51.5093
424.454,53.5788
424.814,59.4859
425.175,62.9552
425.535,66.2499
425.895,68.2867
426.256,68.8950
426.616,67.2750
426.976,64.3769
427.337,61.2163
427.697,57.5084
428.057,58.5633
428.417,57.5310
428.778,57.1095
429.138,58.6634
429.498,58.8674
429.859,59.3321
430.219,60.7148
430.579,59.2193
430.940,57.7293
431.300,56.2813
431.660,54.1600
432.021,51.9412
432.381,51.1115
432.741,51.7581
433.102,53.5997
433.462,55.5971
433.822,56.8266
434.183,56.5895
434.543,58.4451
434.903,58.3109
435.263,54.9968
435.624,54.0092
435.984,54.0277
436.344,54.4766
436.705,56.4414
437.065,57.4958
437.425,57.3956
437.786,57.1199
438.146,56.2081
438.506,58.0237
438.867,60.7453
439.227,63.2209
439.587,66.8682
439.948,71.7546
440.308,69.1106
440.668,64.9225
441.029,63.9027
441.389,63.5358
441.749,63.0347
442.110,59.9955
442.470,57.4470
442.830,54.6631
443.190,52.6842
443.551,51.7937
443.911,51.0075
444.271,52.0340
444.632,53.6689
444.992,52.4188
445.352,53.9455
445.713,55.5177
446.073,54.7117
446.433,54.9503
446.794,54.9616
447.154,54.2530
447.514,54.0962
447.875,56.6506
448.235,56.1979
448.595,54.7948
448.956,55.4451
449.316,54.8485
449.676,54.9361
450.036,54.9260
450.397,54.5649
450.757,55.8795
451.117,58.5248
451.478,58.2706
451.838,58.7071
452.198,57.2040
452.559,55.9733
452.919,55.6591
453.279,55.5511
453.640,55.2116
454.000,55.8197
454.360,56.3271
454.721,56.1947
455.081,57.1330
455.441,57.2338
455.802,57.2655
456.162,56.3684
456.522,56.5841
456.883,56.1225
457.243,58.4228
457.603,59.1551
457.964,59.3946
458.324,61.8324
458.684,62.5172
459.044,62.1176
459.405,62.6144
459.765,61.5643
460.125,60.5450
460.486,59.2479
460.846,56.4933
461.206,54.8640
461.567,55.0619
461.927,55.7560
462.287,56.6076
462.648,58.4169
463.008,59.3505
463.368,59.8881
463.729,59.5614
464.089,59.8784
464.449,61.2182
464.810,59.4913
465.170,58.3787
465.530,57.0980
465.890,54.5614
466.251,52.8320
466.611,52.5543
466.971,53.6009
467.332,55.3560
467.692,55.5285
468.052,58.0036
468.413,59.0651
468.773,62.1778
469.133,63.3057
469.494,65.0096
469.854,66.4886
470.214,66.9423
470.575,65.6622
470.935,63.9380
471.295,62.1144
471.656,59.9667
472.016,58.1857
472.376,56.6900
472.737,54.7620
473.097,53.9750
473.457,52.6161
473.817,54.5129
474.178,55.5351
474.538,55.3945
474.898,56.3629
475.259,57.6819
475.619,60.5224
475.979,61.6097
476.340,62.3484
476.700,62.4084
477.060,60.4017
477.421,59.3453
477.781,58.5968
478.141,58.4980
478.502,58.5137
478.862,59.5314
479.222,60.1770
479.583,63.6283
479.943,64.7213
480.303,63.2643
480.663,59.7767
481.024,59.6413
481.384,58.2955
481.744,57.7046
482.105,55.9617
482.465,54.5879
482.825,55.0381
483.186,53.5167
483.546,49.9296
483.906,49.6843
484.267,49.1694
484.627,49.8115
484.987,51.4659
485.348,51.9867
485.708,53.2134
486.068,52.4522
486.429,52.5167
486.789,51.2536
487.149,50.3719
487.510,51.9459
487.870,53.1195
488.230,53.2318
488.590,54.7880
488.951,54.9933
489.311,56.8134
489.671,58.4152
490.032,58.5465
490.392,60.6783
490.752,60.9962
491.113,60.6750
491.473,59.5654
491.833,59.6728
492.194,60.2242
492.554,59.8926
492.914,58.5342
493.275,55.6907
493.635,52.2987
493.995,49.5842
494.356,49.7972
494.716,48.4719
495.076,46.6732
495.436,46.2386
495.797,44.9255
496.157,45.6280
496.517,45.7384
496.878,45.9431
497.238,45.5632
497.598,44.5527
497.959,45.4370
498.319,45.3399
498.679,45.8009
499.040,46.4678
499.400,47.1531
499.760,47.3588
500.121,48.7617
500.481,49.7453
500.841,51.9969
501.202,52.8568
501.562,54.8295
501.922,56.3021
502.283,54.6434
502.643,53.6855
503.003,54.7561
503.363,56.8445
503.724,58.6831
504.084,59.4608
504.444,59.9032
504.805,60.8550
505.165,63.3268
505.525,63.5188
505.886,64.1135
506.246,64.4729
506.606,65.3081
506.967,64.0585
507.327,62.1747
507.687,60.9196
508.048,58.4861
508.408,56.0799
508.768,53.6246
509.129,50.8411
509.489,49.5383
509.849,48.7731
510.210,47.8711
510.570,47.7849
510.930,46.8784
511.290,47.0879
511.651,45.4993
512.011,43.2743
512.371,43.3175
512.732,47.2264
513.092,50.8360
513.452,53.3662
513.813,56.9774
514.173,56.1197
514.533,55.2183
514.894,54.2977
515.254,53.5496
515.614,51.8847
515.975,50.1568
516.335,48.3347
516.695,45.3995
517.056,44.7770
517.416,45.1851
517.776,46.4474
518.137,44.9202
518.497,46.0031
518.857,43.5470
519.217,42.5218
519.578,40.9748
519.938,41.1756
520.298,41.7497
520.659,42.6870
521.019,44.0618
521.379,45.5876
521.740,47.3507
522.100,49.1812
522.460,50.7583
522.821,49.1175
523.181,50.1393
523.541,50.1909
523.902,47.6547
524.262,46.8700
524.622,44.7513
524.983,43.8008
525.343,42.9901
525.703,43.5625
526.063,43.3943
526.424,43.8430
526.784,44.6317
527.144,45.3552
527.505,46.3381
527.865,47.6792
528.225,47.9981
528.586,47.4272
528.946,48.0440
529.306,46.8675
529.667,47.0424
530.027,47.5341
530.387,47.2544
530.748,48.9426
531.108,48.0896
531.468,48.0747
531.829,49.4559
532.189,50.1940
532.549,50.4255
