Distance_(microns),Gray_Value
392.025,53.8202
392.386,53.5751
392.746,54.4268
393.106,54.3477
393.467,53.4496
393.827,52.8159
394.187,52.6677
394.548,52.6608
394.908,51.8685
395.268,52.1351
395.629,53.1144
395.989,50.9967
396.349,53.7131
396.710,53.0984
397.070,51.9379
397.430,52.8016
397.790,53.6316
398.151,51.8675
398.511,51.2110
398.871,51.2411
399.232,50.3641
399.592,48.3528
399.952,47.0740
400.313,45.9093
400.673,46.3839
401.033,46.3545
401.394,46.2813
401.754,47.2251
402.114,45.5692
402.475,45.4656
402.835,45.7709
403.195,45.7661
403.556,46.0196
403.916,44.4239
404.276,44.5536
404.637,45.3668
404.997,45.6126
405.357,44.6675
405.717,44.8005
406.078,44.6371
406.438,46.2261
406.798,48.3220
407.159,47.6856
407.519,48.6325
407.879,47.7526
408.240,48.3131
408.600,48.5274
408.960,47.6785
409.321,47.6833
409.681,47.2656
410.041,45.7841
410.402,44.7233
410.762,44.8251
411.122,43.5047
411.483,42.2732
411.843,43.3126
412.203,41.5295
412.564,43.2925
412.924,43.1509
413.284,43.7442
413.644,43.8778
414.005,44.5811
414.365,44.3612
414.725,44.4959
415.086,44.3115
415.446,44.5914
415.806,45.2119
416.167,45.6919
416.527,46.4804
416.887,45.5513
417.248,46.9842
417.608,46.9995
417.968,46.4078
418.329,45.4925
418.689,44.5413
419.049,43.6226
419.410,43.0969
419.770,43.6310
420.130,44.4798
420.490,44.0905
420.851,44.7033
421.211,45.3682
421.571,45.0027
421.932,44.0239
422.292,43.7305
422.652,42.2296
423.013,43.0557
423.373,43.2423
423.733,44.9490
424.094,44.0022
424.454,43.6354
424.814,43.1443
425.175,44.1360
425.535,45.1926
425.895,45.9255
426.256,46.3412
426.616,46.8354
426.976,47.6771
427.337,48.0983
427.697,49.5674
428.057,47.0970
428.417,45.8197
428.778,46.9445
429.138,45.9038
429.498,45.9518
429.859,46.2323
430.219,45.2169
430.579,46.2502
430.940,45.9200
431.300,45.5354
431.660,45.3032
432.021,44.9540
432.381,44.1271
432.741,43.8020
433.102,43.9704
433.462,43.8789
433.822,44.2225
434.183,44.2380
434.543,45.6970
434.903,45.0450
435.263,45.5139
435.624,45.3256
435.984,45.3624
436.344,45.0313
436.705,44.9277
437.065,44.3952
437.425,44.2609
437.786,45.0141
438.146,45.8021
438.506,45.9210
438.867,45.2172
439.227,44.6136
439.587,45.1424
439.948,44.2604
440.308,44.0012
440.668,44.6919
441.029,44.7583
441.389,44.9324
441.749,45.4884
442.110,44.7692
442.470,45.2039
442.830,45.6534
443.190,45.8484
443.551,44.6308
443.911,43.9441
444.271,43.9748
444.632,43.9093
444.992,42.8045
445.352,43.2611
445.713,42.3905
446.073,42.3033
446.433,42.3371
446.794,42.5427
447.154,39.5076
447.514,40.4364
447.875,41.1665
448.235,41.2345
448.595,41.5992
448.956,41.9336
449.316,41.4562
449.676,40.9102
450.036,41.6933
450.397,40.7763
450.757,39.6929
451.117,40.3372
451.478,40.1125
451.838,42.4661
452.198,41.8863
452.559,43.1037
452.919,43.4261
453.279,43.3104
453.640,41.9208
454.000,42.0726
454.360,42.8313
454.721,42.2794
455.081,42.4954
455.441,42.8161
455.802,42.0696
456.162,42.2983
456.522,42.1378
456.883,41.5727
457.243,41.6613
457.603,41.8747
457.964,41.9436
458.324,41.5929
458.684,42.4747
459.044,43.1076
459.405,42.4654
459.765,42.8011
460.125,42.6616
460.486,43.6080
460.846,43.1637
461.206,42.4021
461.567,42.2019
461.927,41.7830
462.287,41.6322
462.648,42.3800
463.008,42.6392
463.368,43.6748
463.729,42.8894
464.089,43.4595
464.449,43.5608
464.810,43.1731
465.170,43.0927
465.530,42.7433
465.890,43.3783
466.251,43.7257
466.611,42.5805
466.971,42.7177
467.332,42.1344
467.692,41.4291
468.052,41.7306
468.413,42.8260
468.773,43.1456
469.133,43.2658
469.494,43.5138
469.854,44.7636
470.214,45.0110
470.575,45.3497
470.935,45.6219
471.295,46.6991
471.656,48.0597
472.016,46.2761
472.376,45.6212
472.737,44.4330
473.097,45.4101
473.457,44.1683
473.817,43.7578
474.178,42.4914
474.538,43.2696
474.898,43.3281
475.259,44.0475
475.619,44.3386
475.979,44.5738
476.340,44.9671
476.700,45.4935
477.060,45.1240
477.421,44.8854
477.781,45.0974
478.141,44.9159
478.502,45.1637
478.862,44.5753
479.222,45.9786
479.583,45.9526
479.943,45.7326
480.303,44.8995
480.663,44.7923
481.024,45.8114
481.384,45.4908
481.744,45.4813
482.105,45.0483
482.465,44.0807
482.825,44.5861
483.186,44.9865
483.546,44.4321
483.906,44.9885
484.267,44.3180
484.627,44.1861
484.987,43.2110
485.348,43.3710
485.708,42.0437
486.068,42.3588
486.429,43.4889
486.789,43.6384
487.149,43.3560
487.510,43.7848
487.870,44.0327
488.230,43.9306
488.590,44.1230
488.951,43.5977
489.311,44.8325
489.671,44.6265
490.032,44.7073
490.392,45.9881
490.752,46.9574
491.113,47.8923
491.473,48.8415
491.833,48.5926
492.194,48.4157
492.554,48.3177
492.914,48.2335
493.275,48.8685
493.635,48.8361
493.995,48.4688
494.356,48.9509
494.716,47.7955
495.076,47.9368
495.436,46.4600
495.797,46.6156
496.157,44.8414
496.517,44.8511
496.878,43.8834
497.238,43.6458
497.598,42.9382
497.959,41.7231
498.319,41.4642
498.679,41.8690
499.040,41.0160
499.400,41.3361
499.760,42.1119
500.121,41.7596
500.481,42.5429
500.841,43.0043
501.202,42.1431
501.562,41.9096
501.922,43.0303
502.283,43.7351
502.643,44.0040
503.003,43.5165
503.363,43.3363
503.724,43.2623
504.084,43.8137
504.444,43.6592
504.805,43.1869
505.165,44.0151
505.525,44.5300
505.886,43.9822
506.246,46.8358
506.606,46.4904
506.967,45.8277
507.327,46.3871
507.687,47.5212
508.048,46.9528
508.408,45.9063
508.768,45.1730
509.129,45.5916
509.489,44.0689
509.849,43.2358
510.210,43.2823
510.570,41.9874
510.930,41.8789
511.290,42.0648
511.651,41.2855
512.011,39.0242
512.371,39.5764
512.732,38.0727
513.092,37.4765
513.452,37.1547
513.813,36.3729
514.173,37.6545
514.533,39.4993
514.894,40.2924
515.254,39.9286
515.614,39.9713
515.975,41.1723
516.335,42.1904
516.695,41.4970
517.056,41.0108
517.416,40.6573
517.776,41.7693
518.137,41.6702
518.497,41.7833
518.857,41.3102
519.217,41.6646
519.578,42.6533
519.938,42.9575
520.298,42.9572
520.659,43.1504
521.019,43.3085
521.379,43.0005
521.740,43.4902
522.100,43.8001
522.460,44.6743
522.821,43.1078
523.181,42.5426
523.541,42.3297
523.902,42.2671
524.262,42.3221
524.622,41.9373
524.983,41.4867
525.343,41.2161
525.703,41.5667
526.063,40.4258
526.424,40.0269
526.784,40.6545
527.144,40.3957
527.505,39.6451
527.865,39.9779
528.225,40.2601
528.586,38.5811
528.946,37.6880
529.306,37.7281
529.667,37.9198
530.027,37.3812
530.387,37.6675
530.748,38.6850
531.108,38.6139
531.468,38.6617
531.829,38.8622
532.189,39.1555
532.549,39.0667
532.910,39.3854
533.270,39.2926
533.630,38.9427
533.990,40.1431
534.351,40.8213
